,Image,Label
182,5156,6 9
183,25429,8
184,15574,6 4
185,28237,2
186,19155,6
187,26691,4
188,21895,4
189,2085,9
190,12168,6 7
191,11716,4
192,14520,2
193,19229,9
194,27385,6
195,25246,3
196,10466,4
197,26372,2 7
198,2774,8 6
199,27930,6 1
200,5241,0 2 4
201,15590,4
202,6156,4
203,8252,4
204,11166,6 4 7
205,9213,4
206,14350,4
207,23080,0 4
208,21941,0
209,13395,6 4
210,13787,4
211,20994,6 7
212,16723,6 4
213,22984,4
214,8329,8
215,17663,6
216,7561,3
217,2038,6 2 4
218,5051,0 4
219,27395,1
220,29101,8
221,20773,1
222,10967,2 4
223,30936,6 4
224,10543,8 4
225,6158,0
226,6725,1
227,9972,1
228,8804,6
229,22308,6
230,13043,6
231,28693,1
232,19188,6 4 7
233,21791,0
234,23636,6 9
235,22234,3 4
236,25249,3
237,5790,0
238,30451,3 4
239,18236,4
240,10764,6 2 4
241,30364,4
242,18450,4
243,23292,6 4
244,25013,6 0
245,803,1
246,20228,4
247,13770,8 4
248,4766,7
249,14201,4
250,20208,2
251,12065,7
252,9759,6
253,14051,3
254,2135,7
255,14620,3
256,26494,4
257,22772,6
258,9091,6 4
259,21260,7
260,24451,6
261,6610,6
262,16127,3
263,26686,4
264,1339,7
265,8692,4
266,4103,6
267,27604,6 2
268,25879,6 4
269,11073,9
270,26142,6 4
271,22773,8
272,8346,1 4
273,2628,3
274,3224,8 4
275,16272,9
276,22876,2 4
277,30575,3
278,24848,4
279,25430,4 7
280,2821,6 4
281,4240,6 1 2
282,13893,6 3
283,3645,5
284,279,4
285,19127,2
286,26905,7
287,26782,0
288,3783,0 9
289,22294,7
290,17589,6 4
291,29349,1
292,19554,9
293,27581,3
294,17486,0 2
295,17177,3
296,13521,2 4
297,16103,6 4
298,19595,9 7
299,20637,6 1
300,7118,4
301,21010,9
302,6893,4
303,22579,4
304,1060,5
305,12744,6 0
306,30927,6 7
307,21052,5 4
308,11227,6 2 4 7
309,29278,6 4
310,21126,6
311,6771,1
312,20848,6
313,5825,5
314,7078,6 1
315,2413,7
316,22913,6 4
317,15714,6 7
318,27817,6
319,16928,5
320,5586,0
321,12098,0 1
322,9224,6 3
323,649,0
324,22432,6 9
325,23051,2
326,3146,4
327,15393,6 9
328,461,6 2
329,20027,7
330,2498,5
331,4328,6 2 4
332,10433,4
333,29653,4
334,23909,6 1
335,8116,6 4
336,23324,6 7
337,5446,7
338,531,3
339,9944,4
340,253,2
341,15131,4 7
342,24605,4 7
343,2029,0
344,10187,6
345,15752,2 4
346,15878,1 7
347,27892,5 4
348,9648,1 2 4
349,24855,3
350,13072,3
351,4319,6
352,29762,7
353,7249,6 7
354,24031,4
355,10248,6
356,6321,3
357,16895,4
358,28321,1
359,10769,6 2
360,24965,6
361,19580,4
362,16472,9
363,7465,6 1
364,15587,4
365,30204,0
366,9789,6
367,20863,1 7
368,13317,4 7
369,5516,3 4
370,9762,6 2
371,24309,6 2 4
372,27995,4 7
373,13977,6
374,6879,6 4
375,9619,4
376,21265,0
377,14947,2 4
378,6418,4
379,24787,6 3
380,3646,5
381,20940,6
382,23382,6 4
383,3668,1
384,12530,1
385,11161,6 4
386,19544,8 5 4
387,7488,3
388,17602,0
389,24776,4
390,11941,4 7
391,9488,0 4
392,11915,6
393,6506,4
394,30351,0 4
395,7865,5
396,12262,1 4
397,9254,4 7
398,15466,4
399,408,6 7
400,16324,0
401,18833,4
402,16925,5
403,3959,2
404,0,9 4 7
405,18858,6
406,21973,6
407,13934,6
408,23635,6
409,27100,6 4
410,25421,2
411,5746,7
412,6423,6 1
413,9888,4
414,6292,1
415,20842,0
416,6554,4 7
417,15146,6 4
418,26229,5 4
419,6175,8
420,4227,4
421,30245,6
422,14791,4
423,20112,1 4
424,14611,1
425,17404,3 4
426,14453,6 4
427,20768,6 4
428,23924,3
429,7972,7
430,25112,2 4
431,30322,6 4
432,7161,4
433,6655,0
434,27967,7
435,18585,9
436,23150,8 1 4
437,29297,4
438,15243,8 4
439,28712,2 4
440,9220,6 4
441,903,0
442,21714,6 4 7
443,23559,5 4
444,25545,6 2
445,4199,8
446,17886,4
447,29470,4
448,11966,9
449,22935,5 4
450,16909,6 4
451,15653,6 4 7
452,15967,6
453,12058,6 4
454,27450,6
455,2934,4
456,22847,6 4
457,21470,8 7
458,2597,6 4
459,19434,6 1
460,21967,4
461,28629,0
462,14079,6
463,21915,6 4
464,10861,1 4
465,29703,6 4
466,30246,6 4
467,7398,3 2
468,10278,3
469,22387,2 7
470,11576,4
471,30140,6
472,15679,2
473,5157,4
474,11290,3
475,28502,0 4
476,6491,4
477,30145,4
478,30543,4
479,11718,2
480,17166,1
481,12535,4
482,16029,6 3 4
483,10628,6 7
484,5934,4
485,11909,2 4
486,5490,9
487,24399,4
488,1769,3
489,28981,6 4
490,4522,0
491,29466,4
492,20957,6
493,4727,4
494,9064,6 1
495,18370,6 1
496,24103,5
497,11844,4
498,3072,5 4
499,26173,7
500,27691,2 4
501,1139,0 4
502,5564,0
503,26240,9
504,29306,1 7
505,10881,4
506,21629,4 7
507,5404,0
508,24892,4
509,7640,3
510,12787,7
511,8928,4
512,29556,7
513,15287,6 9
514,21264,8 4 7
515,3253,5
516,12420,0
517,29537,1
518,19118,3 4
519,16929,2 4
520,11496,2 4
521,29291,8 4
522,4948,6 3
523,24002,6 7
524,12034,4
525,28658,4
526,6266,3 4
527,28674,6 9
528,10873,8
529,12418,5
530,28120,7
531,18653,6 4
532,16437,4 7
533,5152,0 4
534,23764,3
535,3911,1
536,3496,7
537,15076,6
538,13543,8 4
539,25576,6 4
540,349,6 1
541,29238,4
542,24803,0 2
543,22183,4
544,10935,1
545,9266,4
546,1802,4
547,11165,6
548,23963,6 9
549,19809,6 4
550,1798,4 7
551,7534,6 4
552,5168,0 4
553,18224,0
554,16311,0 4
555,8908,8 4
556,30677,4 7
557,28984,6 5
558,19477,5
559,28494,6
560,27054,1
561,2974,6
562,27237,6
563,7272,0
564,25489,4
565,27914,2
566,17989,0
567,27307,6
568,24991,6
569,13615,4
570,12552,6 4
571,18753,6
572,28359,0 4
573,6022,4
574,21324,4
575,20359,0 4
576,977,6
577,15998,4
578,19486,6 4
579,1157,3
580,2823,4
581,30815,4
582,13255,0
583,23024,1 4
584,8853,9
585,13184,6 2
586,16218,0
587,17621,0 2
588,7525,1
589,22218,4
590,2285,4
591,2735,6 4
592,9039,3
593,15956,8 4
594,16159,0 5 4
595,13379,3 4
596,14332,4
597,12128,3 4
598,179,4 7
599,22653,4 7
600,22990,2 4
601,7479,4
602,22444,0
603,11630,6 4
604,13438,6 7
605,7157,0 4
606,27314,4 7
607,6484,0
608,8398,6 4
609,22641,5 4
610,5317,2 4
611,30002,9
612,22846,8
613,30291,6 4
614,16595,0
615,3094,4
616,14275,7
617,2890,5
618,21123,4
619,8864,1 7
620,7423,4 7
621,12155,8 4
622,8,0 1
623,26235,4 7
624,4566,3 4
625,668,0
626,22214,6 4
627,22947,6 4
628,30687,0
629,794,4
630,4791,6
631,152,4
632,13614,1 4
633,24914,5
634,6143,4
635,92,2 4
636,7979,8
637,8240,3
638,1543,8 4
639,18396,2 4
640,21515,3
641,22478,6 4
642,10532,3 4
643,15052,4
644,7785,2
645,27258,3
646,3399,4
647,23969,6 4
648,2859,8 4
649,8233,6
650,6329,2
651,26959,5 4
652,26854,9
653,27194,4
654,23594,2
655,7392,4
656,926,2 4
657,11431,1
658,14028,0
659,9990,7
660,3294,6 4
661,10575,4
662,27942,0
663,29725,3 4
664,6041,6 0 4
665,11711,4
666,866,3 4
667,8696,3 4
668,13841,2 4
669,14544,0
670,18098,4
671,4837,4 7
672,24940,5
673,16524,4
674,5902,8
675,26846,0
676,19038,0
677,16809,6 4
678,20704,4 7
679,4008,8
680,3879,6 2
681,1882,0
682,3555,2 4
683,11778,6
684,14277,6 5
685,28041,6 5 4
686,18596,1
687,10122,1
688,5184,6
689,15627,2 4
690,424,3 2
691,26795,6 1
692,16338,6 4
693,3817,3
694,11540,4 7
695,11285,6 1 4
696,19479,0
697,16497,5
698,6583,6
699,12938,2 4
700,29090,7
701,17387,4
702,7035,4
703,21640,7
704,29824,4
705,29906,7
706,18207,7
707,19288,2 4
708,7922,6 7
709,16233,5 4
710,6953,2
711,24822,6 7
712,27525,6 4
713,23834,2
714,6040,8
715,18243,6
716,29287,4
717,6415,0
718,3820,9 7
719,24871,7
720,3904,6
721,901,6
722,15645,4
723,5367,6 4
724,7667,7
725,25227,6 3
726,26317,0 2
727,2190,6
728,4297,6 3
729,21374,8 4
730,2306,5
731,27937,6
732,15495,8 4
733,3766,6 9
734,20426,4
735,30651,4
736,7580,5 4
737,11753,1
738,11428,8
739,28245,0 4
740,27264,6
741,4763,8 3
742,7875,4
743,24225,2
744,16308,4
745,11189,7
746,3545,6 1
747,6825,8
748,11405,4
749,20758,4
750,26856,6 0
751,16707,4
752,21660,7
753,16425,2 4
754,21888,7
755,24184,4
756,20927,3
757,8339,2 4
758,15043,6 4
759,26742,4
760,8860,5
761,25924,6 1
762,21366,4
763,21564,9
764,17773,7
765,15765,6 4 7
766,10485,2 4
767,13542,2
768,1136,6 4
769,9860,2
770,14773,6 5
771,17995,0
772,24689,3
773,3243,4
774,14166,6 4
775,970,6 9
776,25876,6
777,18941,7
778,15876,6 4
779,1675,5
780,15976,6 4
781,10180,6 4
782,21649,6 4
783,2654,8 4
784,21787,6 0 4
785,10241,1
786,24967,3 4
787,26851,1
788,17191,4
789,29685,9
790,28133,2
791,12250,6
792,16188,6
793,3483,0 4
794,5031,8 4
795,5486,3
796,350,6 4
797,1063,5
798,30216,6 4
799,23329,0
800,16310,4
801,16717,4
802,29486,6 2
803,20314,0 2
804,16006,1
805,15948,6 4
806,22086,6 4
807,1785,4
808,5983,4
809,4463,6
810,20238,4
811,6962,6
812,19330,6
813,1665,6 4
814,29162,5
815,15643,8
816,9304,9
817,15710,7
818,5794,9 7
819,10261,6
820,22763,0 4
821,14156,6 4
822,635,0
823,3145,5
824,3115,4
825,15414,6 5 4
826,8581,1 7
827,18706,6 7
828,30778,2
829,27220,4
830,9154,7
831,4701,7
832,29809,6
833,26722,0
834,26171,3 4
835,8070,6
836,18682,6 4
837,24633,0
838,9585,2
839,9988,0 4
840,6437,9
841,19367,4
842,30098,0
843,19726,1
844,9049,8 4
845,3028,6
846,12052,6 7
847,20266,2
848,12538,4
849,22209,4
850,23000,6 3
851,8892,8 0
852,19824,6
853,2511,2
854,11195,6 9
855,11216,6 4
856,5099,6 1 4
857,2855,6 5 4
858,10647,4
859,3373,7
860,9767,4
861,20033,1 4
862,29125,8 4
863,9426,6 4
864,15932,3 5 4
865,8476,1 4 7
866,20557,1 2
867,3127,4 7
868,12287,6 5 4
869,4583,2 4
870,13401,1
871,24733,2
872,25609,7
873,22560,0 4
874,21553,1
875,25175,6 0
876,8748,6 4
877,12841,4
878,16935,2 4
879,5494,4 7
880,8032,6 1 4
881,16740,7
882,26426,0
883,20113,2 4
884,30823,7
885,23591,6 4
886,28708,6 4
887,17157,3
888,18768,9
889,29265,6
890,27627,5
891,3259,3 4 7
892,1328,8 7
893,12120,9
894,16230,6 5 4
895,27824,4
896,3141,6 3 4
897,23704,2 4
898,15327,4
899,21731,5
900,7589,4
901,8227,6
902,27709,4 7
903,14958,6 7
904,21533,8
905,2629,3 4
906,28744,4
907,26369,6
908,2541,2 4
909,27191,4
910,27760,0 2
911,7280,0
912,29075,1
913,10212,9
914,7608,7
915,20718,0
916,3915,6 2 4
917,5127,9
918,5728,2
919,29430,3 4
920,22816,4
921,9901,4
922,10938,6
923,17301,6
924,6914,0
925,12355,0 4
926,27008,4
927,29073,3 4 7
928,21389,4 7
929,24467,6
930,24283,7
931,5018,2
932,26641,8 4 7
933,21613,3 1
934,26561,1
935,14471,0
936,3192,0
937,8300,1
938,30065,2
939,5513,6 4
940,13610,0
941,687,8 4
942,13221,6 4
943,11358,4
944,3296,4
945,8276,9
946,11102,6 3
947,9799,3
948,16832,6 7
949,3026,6
950,27488,6 7
951,23528,8 4
952,839,2 4 7
953,12283,6 2 4
954,3508,3
955,16644,6
956,9363,2
957,14473,9
958,30545,6 4 7
959,4076,6 4
960,10272,6
961,17008,2 4
962,26114,4
963,5252,9
964,11671,6 7
965,1918,4
966,17805,6
967,23550,8 3 4
968,18761,6 2 4
969,4523,4 7
970,5329,8 4
971,5547,0 4
972,23947,6 3 4
973,20650,3
974,18839,3 9
975,30685,6 4
976,28355,8
977,6336,6 4
978,1532,5
979,9808,7
980,24445,2 4
981,29644,0
982,6195,5
983,11191,1
984,11695,5 4
985,18772,3 7
986,8387,1
987,25326,4
988,26906,3
989,4903,6
990,3452,0 4
991,4724,6 4
992,3589,4
993,14564,9
994,10656,6 7
995,12247,6 1
996,30492,5
997,29620,0 2 4
998,20767,4
999,14709,0 4
1000,17560,3
1001,25633,6
1002,5014,6 3 4
1003,21664,4
1004,9652,2 4
1005,27361,4
1006,10740,6 4
1007,26153,4
1008,28260,4
1009,233,3
1010,6073,6 2
1011,9390,4
1012,29872,4
1013,18677,2
1014,30656,3 4
1015,13071,2 4
1016,24581,0
1017,1936,6
1018,19926,4
1019,24529,2
1020,22907,8 5 4
1021,8889,6 3
1022,769,4
1023,18527,4
1024,2335,7
1025,15306,2
1026,28440,8 4 7
1027,9172,4
1028,644,4
1029,21816,1
1030,11659,4
1031,24421,4 7
1032,28179,7
1033,10162,1 4
1034,7275,6 4
1035,6398,4
1036,8385,4
1037,24205,6 0 4
1038,28072,2 4
1039,24367,1
1040,1755,6 4
1041,5439,2 7
1042,26824,5 4
1043,9115,4
1044,9044,2 4
1045,17588,6 1
1046,18945,6 2 4
1047,566,6 4
1048,28599,1
1049,11626,4
1050,22838,3
1051,21809,4 7
1052,19717,5
1053,5468,6 4
1054,9376,5
1055,11523,5
1056,19109,6
1057,1929,6 4
1058,25917,6 4
1059,9222,9
1060,18884,6 7
1061,1493,8 4
1062,10268,5
1063,10781,1
1064,10219,6 4
1065,26036,2 4
1066,18376,7
1067,12238,4
1068,6342,6 4
1069,7700,4 7
1070,10930,6 7
1071,8108,3 2 4
1072,4129,2 4
1073,13722,9
1074,13426,1
1075,5674,0
1076,17411,4
1077,22103,6
1078,17472,4
1079,7951,6 2 4
1080,22683,2 4
1081,29514,4 7
1082,6558,4
1083,18461,4 7
1084,887,4 7
1085,12773,2
1086,5110,9
1087,19377,3
1088,26983,5 4
1089,27986,7
1090,30524,6 4
1091,17153,4
1092,10700,4
1093,10773,6
1094,18849,0
1095,28830,6 4 7
1096,13639,4 7
1097,17501,6 1 4
1098,1465,0
1099,24386,6 4 7
1100,12895,6
1101,7727,9
1102,30869,4
1103,13149,6
1104,30169,7
1105,9913,4 7
1106,26785,5 4
1107,19636,3 4
1108,7239,6 7
1109,24582,8 3 4
1110,1231,5
1111,23389,7
1112,14794,6 1
1113,24950,6 2 4
1114,19179,4
1115,20461,2 4
1116,2768,6
1117,14681,6 4
1118,5203,2
1119,3149,3
1120,2754,6 4
1121,149,6 2
1122,17026,3
1123,19622,6 4
1124,28630,4
1125,22196,6 4
1126,16069,6 7
1127,29303,4 7
1128,16927,9 7
1129,11212,6 4 7
1130,3898,9
1131,17076,4
1132,30612,5
1133,21045,3
1134,18403,2 4
1135,8611,5
1136,8008,6 4
1137,15453,1
1138,26679,6 2
1139,30891,7
1140,8838,0 4
1141,4192,6 4
1142,4279,6 4
1143,3835,8 4
1144,10380,6 4
1145,8305,2 4
1146,2999,4
1147,3348,5 4
1148,19577,6 2 4
1149,10077,4
1150,4530,4
1151,23514,0 4
1152,3699,6 4
1153,18493,4
1154,6548,2 4
1155,1851,6
1156,16905,3
1157,16262,1
1158,27139,1 4
1159,19114,2
1160,18507,9 2
1161,14880,6 4
1162,21132,3 2 4
1163,8706,6 4
1164,27089,4
1165,28568,0 4
1166,23786,1
1167,12123,8
1168,19892,0
1169,11124,4
1170,4280,2
1171,17133,0 4
1172,13416,2
1173,4813,2 4
1174,26892,7
1175,25344,2 4
1176,5032,1
1177,17111,6 3
1178,17619,8 0
1179,14349,1
1180,10332,3
1181,16264,4
1182,18656,6 4
1183,25492,6
1184,4926,6 1
1185,19347,3 7
1186,8858,0
1187,13342,6 4
1188,14346,4
1189,6254,6 4
1190,18173,4
1191,29904,4 7
1192,2313,4
1193,16132,0
1194,26609,4
1195,6424,4 7
1196,17458,6
1197,3368,6 4
1198,13836,2 4 7
1199,17369,6 4 7
1200,16778,4
1201,16469,2
1202,14429,6 4
1203,20271,3
1204,30707,6
1205,11345,9 4
1206,22817,2 7
1207,3842,5
1208,3731,6
1209,29284,6 4 7
1210,12608,3
1211,28505,6
1212,7773,3
1213,26783,4
1214,17523,6 4
1215,3484,0
1216,9504,0 2
1217,7103,6
1218,11426,6 4
1219,15139,9
1220,23216,4
1221,7327,6 1
1222,21778,4
1223,20435,4
1224,23860,3
1225,11231,4 7
1226,10620,5
1227,20274,0 5
1228,4711,6 4 7
1229,15788,4
1230,20129,2 4
1231,24695,6 2
1232,4807,4 7
1233,7410,5 4
1234,3165,5 4
1235,28770,6 3 4
1236,1311,6 4
1237,12415,7
1238,11905,6 0 4
1239,21972,1
1240,21732,8 4
1241,9612,5
1242,8174,6
1243,28059,2 4
1244,16358,6 4
1245,11281,3 4
1246,4835,6
1247,5738,0 2
1248,10762,6 1 7
1249,1784,4
1250,17543,6
1251,10349,0
1252,20857,3
1253,15728,6 4
1254,24600,6
1255,4857,4
1256,11619,4
1257,29069,2 4
1258,18074,6 2
1259,24351,6 1
1260,26727,6
1261,10836,4
1262,13168,2 4
1263,15499,8
1264,23260,4
1265,25635,6
1266,523,4
1267,19060,8 6
1268,29339,9
1269,24905,0
1270,20923,6 4
1271,1811,1
1272,22941,3 4
1273,8153,6 1
1274,8578,0
1275,21526,7
1276,9338,2
1277,30212,6
1278,7699,6 2 4 7
1279,17467,0
1280,19920,4
1281,7466,8 2 7
1282,10224,0
1283,7975,4
1284,12003,0
1285,20342,4 7
1286,19239,6
1287,13465,2
1288,17136,6 4
1289,13281,6 4
1290,3184,5
1291,4907,4
1292,7273,4
1293,1955,6 7
1294,24180,1 4
1295,24170,6
1296,20613,9
1297,11931,1
1298,17980,5
1299,14407,2 4
1300,12447,2 4
1301,1364,5 4
1302,24099,4
1303,13372,4
1304,1073,4
1305,28710,4
1306,16959,0
1307,20433,6 4
1308,21693,4
1309,25741,4
1310,10019,3 4
1311,10578,1
1312,22770,9
1313,30396,0
1314,17682,2 4
1315,26685,4
1316,12454,1
1317,23678,4
1318,24096,0
1319,1,3 2 4
1320,16597,6 9
1321,19586,4 7
1322,10084,3
1323,21342,1
1324,8428,1
1325,6333,4
1326,25253,6 2 4
1327,13681,6 4
1328,24508,5
1329,1421,6
1330,27179,0
1331,24167,6 3
1332,8022,2 4
1333,3830,0
1334,14303,6 7
1335,23719,8 0
1336,21070,4
1337,27698,7
1338,13334,4
1339,6434,9
1340,2122,0 4
1341,17699,7
1342,823,4
1343,394,6 4
1344,9812,6 5 4
1345,21903,0 4
1346,2648,1 4
1347,12684,6 7
1348,21414,8
1349,28471,0
1350,685,1
1351,10467,2 4
1352,29428,4
1353,2089,4
1354,24357,2 4
1355,14269,4
1356,21786,4
1357,14897,9
1358,3929,1
1359,13971,4
1360,266,6
1361,282,8 2
1362,2177,6 7
1363,8920,4
1364,29352,6
1365,5916,6 2 4
1366,23240,6
1367,16181,2
1368,30814,6
1369,19812,4
1370,4725,3
1371,10787,6 3
1372,24417,4
1373,23612,6
1374,23593,6
1375,14896,6 0
1376,1913,2
1377,7453,9
1378,11520,1
1379,4413,6 0
1380,20829,6
1381,8507,6 7
1382,30213,4 7
1383,23629,0
1384,30361,4 7
1385,12284,6 2
1386,17167,3
1387,28106,3 4 7
1388,787,0
1389,2494,1 4
1390,24745,6 3
1391,2738,9
1392,8758,6 4
1393,16265,6
1394,27657,8 7
1395,475,4
1396,19740,5 4
1397,11455,2 4
1398,8006,2 4
1399,11022,4
1400,17541,4
1401,27216,0
1402,21555,6 4
1403,23370,1 7
1404,27686,7
1405,14255,6 4 7
1406,1901,6 2
1407,4709,0
1408,29420,4
1409,13790,3 4
1410,29857,6 2 4
1411,29229,5
1412,9389,6
1413,1331,4
1414,8297,4
1415,12696,0 2 7
1416,28518,7
1417,26092,6 7
1418,741,6 4
1419,2364,7
1420,13713,4
1421,5208,4
1422,4859,6 5 4
1423,1087,8 2
1424,1096,6 4
1425,14119,5
1426,20191,4
1427,19598,4
1428,18999,9
1429,29729,9
1430,26638,0
1431,29834,6 5
1432,8658,6
1433,21890,4
1434,22546,2 4
1435,24330,4
1436,8698,6
1437,26276,6 4
1438,1877,2 4
1439,7708,1
1440,18915,3
1441,16474,8 4
1442,22141,4
1443,8763,6 2 4
1444,26408,6
1445,1606,4
1446,12357,4
1447,30692,1
1448,22453,0
1449,23662,6 4 7
1450,20725,5
1451,28111,6 5 4
1452,26732,2
1453,27512,6
1454,30164,5
1455,3311,7
1456,25768,8 4
1457,14022,1 2
1458,25559,6 4
1459,30504,6
1460,8480,8 4
1461,1997,2
1462,18230,0 4
1463,20545,6 4
1464,28222,8 2 7
1465,19874,2 4
1466,7547,4
1467,28490,7
1468,9346,2 4
1469,22397,1 9
1470,18869,4
1471,20468,2 4
1472,5509,5 4
1473,3437,6
1474,28294,1 4
1475,29301,0 2
1476,30276,4
1477,19570,4
1478,2606,6 4
1479,4862,1 4
1480,9297,2 7
1481,5625,3
1482,26633,0 4
1483,24227,2
1484,13650,2 7
1485,20518,0
1486,22725,4 7
1487,15383,9
1488,26643,7
1489,5797,3 1
1490,10201,1
1491,24670,6 0
1492,22795,4
1493,7932,2
1494,9231,9
1495,13891,5
1496,11956,3 5
1497,2218,1 2
1498,27974,6 7
1499,27185,6 1 4
1500,15013,6 4
1501,22588,4
1502,27650,9
1503,1560,6
1504,2696,1
1505,8335,4
1506,28538,6
1507,4115,1
1508,30540,2 4
1509,1903,2 4
1510,22774,8 4
1511,6121,4 7
1512,3308,2 4
1513,15871,6 4
1514,30949,6 2 4
1515,20396,0
1516,22976,8
1517,31015,3
1518,19968,6
1519,17286,6 4
1520,7915,4 7
1521,24560,6 7
1522,197,0 4
1523,5290,4
1524,17715,1 4
1525,11739,4 7
1526,16779,4
1527,30144,8
1528,29001,8 2 4
1529,9036,9 7
1530,25929,3
1531,29508,7
1532,21184,2
1533,12873,7
1534,7610,6 7
1535,23279,0
1536,28904,6
1537,23981,6 4
1538,10221,6
1539,16562,1
1540,8522,0
1541,19547,2 4
1542,14555,6 7
1543,27477,7
1544,8609,3
1545,7373,0 4
1546,2037,4
1547,29478,1
1548,16457,1
1549,1381,0 4
1550,16516,6 7
1551,2731,8
1552,9110,3
1553,10815,7
1554,18536,3 4
1555,12341,1 4
1556,17532,6 4
1557,8290,4
1558,19655,7
1559,19997,6
1560,4153,3
1561,2240,4
1562,20946,7
1563,10113,7
1564,12478,4
1565,22287,0
1566,8161,6
1567,23420,4
1568,15580,0 4
1569,6026,3
1570,9324,4 7
1571,8282,3
1572,24098,6 4
1573,9053,1 4
1574,26244,6
1575,2565,2
1576,13590,6
1577,30042,0
1578,21140,2
1579,11830,4
1580,18279,0
1581,7236,2
1582,16745,0
1583,8188,4
1584,22680,6 4
1585,5693,4
1586,9270,6 4
1587,28886,9
1588,29812,8 6 4
1589,28232,5 4
1590,8192,4
1591,5426,9 2 4
1592,1326,2 4
1593,11773,3 4
1594,26500,2
1595,17987,4
1596,30030,4
1597,2324,7
1598,20992,6 9
1599,26019,9 7
1600,21535,9 7
1601,18665,0
1602,1514,9
1603,20209,9
1604,10974,6
1605,27356,2 4
1606,23025,6 4
1607,1130,4
1608,3642,5 4
1609,16041,0
1610,7062,6 4
1611,16721,2
1612,79,8 4
1613,26758,1
1614,6503,9 4
1615,23504,7
1616,27888,8 1
1617,18218,5 4
1618,27855,4 7
1619,25210,2 7
1620,21639,8 6
1621,23748,4
1622,15523,2 4
1623,1077,2
1624,2238,6 4
1625,11503,8 4
1626,20345,6
1627,7696,4
1628,14623,5
1629,13945,3 4
1630,12470,6
1631,21658,5
1632,27542,4
1633,16752,6
1634,23254,5
1635,4990,1
1636,19233,7
1637,25276,6 7
1638,24237,0 4
1639,28465,6
1640,18570,5
1641,23405,6 4
1642,29716,3
1643,8294,4 7
1644,14380,4
1645,6882,3
1646,29977,4
1647,13363,4
1648,14798,5
1649,30360,0
1650,24030,6
1651,20692,0 5 4
1652,14391,2 4
1653,6758,6
1654,10065,2 4
1655,6541,4
1656,28688,1 4 7
1657,22616,8
1658,17897,0 2
1659,527,6 1 4
1660,6930,2
1661,4812,6
1662,4731,0
1663,14092,6 0 4
1664,29094,3 9
1665,23800,2 4
1666,26596,3 5
1667,25814,6 4
1668,27862,1 4 7
1669,2832,6 7
